Frequency	Mag [B/A]	Phase [B-A]
+1.58717317850909E+002	-4.31707178430395E+001	-1.00179559593124E+002
+1.68124656592543E+002	-4.26849952209237E+001	-9.96403948418012E+001
+1.78089577981099E+002	-4.22035780567616E+001	-9.90880191283865E+001
+1.88645130513788E+002	-4.17148887176744E+001	-9.85994879557653E+001
+1.99826321506253E+002	-4.12266290711658E+001	-9.81062529440351E+001
+2.11670233193758E+002	-4.07365411139163E+001	-9.76610644375575E+001
+2.24216145713806E+002	-4.02400263376347E+001	-9.72534489101012E+001
+2.37505667378068E+002	-3.97540145552062E+001	-9.68467772547359E+001
+2.51582872665659E+002	-3.92591497688160E+001	-9.64889203306814E+001
+2.66494448395425E+002	-3.87625204704024E+001	-9.60960184422504E+001
+2.82289848561999E+002	-3.82663703292524E+001	-9.57690284852184E+001
+2.99021458349166E+002	-3.77750114859144E+001	-9.54158134075053E+001
+3.16744767864452E+002	-3.72751989699807E+001	-9.51290790726312E+001
+3.35518556171157E+002	-3.67788012972588E+001	-9.48580208056195E+001
+3.55405086228140E+002	-3.62818953058223E+001	-9.46011806541519E+001
+3.76470311383898E+002	-3.57841026615865E+001	-9.43428992556032E+001
+3.98784094109759E+002	-3.52875047761563E+001	-9.40957716297808E+001
+4.22420437697607E+002	-3.47911072992697E+001	-9.38650499903450E+001
+4.47457731690587E+002	-3.42939417016933E+001	-9.36526124315335E+001
+4.73979011860721E+002	-3.37959475302367E+001	-9.34531071793144E+001
+5.02072235595681E+002	-3.32980723690321E+001	-9.32604957395736E+001
+5.31830573608011E+002	-3.27985185939259E+001	-9.30831795460793E+001
+5.63352718934253E+002	-3.22989286035184E+001	-9.29010550619823E+001
+5.96743214248778E+002	-3.18002134777975E+001	-9.27357714699472E+001
+6.32112798577834E+002	-3.13007106525447E+001	-9.25834995092389E+001
+6.69578774563701E+002	-3.08016903904069E+001	-9.24427888915751E+001
+7.09265397496968E+002	-3.03015313102943E+001	-9.23173286168299E+001
+7.51304287407146E+002	-2.98018051381818E+001	-9.21898816066508E+001
+7.95834865578330E+002	-2.93038917245728E+001	-9.20667472649209E+001
+8.43004816937577E+002	-2.88050146183615E+001	-9.19500776533933E+001
+8.92970579849534E+002	-2.83061348170262E+001	-9.18476119920579E+001
+9.45897864941690E+002	-2.78057709442034E+001	-9.17416802154121E+001
+1.00196220468093E+003	-2.73064985897619E+001	-9.16472169032999E+001
+1.06134953552407E+003	-2.68072037066715E+001	-9.15578252763740E+001
+1.12425681457303E+003	-2.63080502788722E+001	-9.14723277120483E+001
+1.19089267277984E+003	-2.58077344750269E+001	-9.13892251974584E+001
+1.26147810686771E+003	-2.53068317751374E+001	-9.13117131538766E+001
+1.33624721226304E+003	-2.48082655302089E+001	-9.12406044006758E+001
+1.41544795946902E+003	-2.43085368057954E+001	-9.11766880951691E+001
+1.49934301645572E+003	-2.38085578739326E+001	-9.11100274968976E+001
+1.58821061979407E+003	-2.33086265654777E+001	-9.10460113321004E+001
+1.68234549742285E+003	-2.28093566409790E+001	-9.09893223275022E+001
+1.78205984610901E+003	-2.23102537601925E+001	-9.09346886175781E+001
+1.88768436684315E+003	-2.18103296233808E+001	-9.08827924359718E+001
+1.99956936160384E+003	-2.13105570889442E+001	-9.08350511794096E+001
+2.11808589512835E+003	-2.08110156926606E+001	-9.07890864124875E+001
+2.24362702554277E+003	-2.03115433732932E+001	-9.07451257255653E+001
+2.37660910793274E+003	-1.98118328236757E+001	-9.07031135443344E+001
+2.51747317517823E+003	-1.93122441259844E+001	-9.06644772937554E+001
+2.66668640063182E+003	-1.88128003222559E+001	-9.06280544254831E+001
+2.82474364749139E+003	-1.83133073185316E+001	-9.05956224240701E+001
+2.99216911000576E+003	-1.78136567785041E+001	-9.05620130651955E+001
+3.16951805195623E+003	-1.73139005890566E+001	-9.05328365912651E+001
+3.35737864817978E+003	-1.68142978023427E+001	-9.05029567603854E+001
+3.55637393524116E+003	-1.63145404956462E+001	-9.04775577167569E+001
+3.76716387772340E+003	-1.58151861428217E+001	-9.04549275566759E+001
+3.99044755698944E+003	-1.53157108069054E+001	-9.04308299561659E+001
+4.22696548967393E+003	-1.48157049717694E+001	-9.04130919439915E+001
+4.47750208359438E+003	-1.43158292978084E+001	-9.03935873269661E+001
+4.74288823922680E+003	-1.38159367966528E+001	-9.03774069981012E+001
+5.02400410537335E+003	-1.33161859560281E+001	-9.03616215524798E+001
+5.32178199816132E+003	-1.28156531997365E+001	-9.03459765986234E+001
+5.63720949305421E+003	-1.23154400337692E+001	-9.03325112159387E+001
+5.97133270012935E+003	-1.18152649255651E+001	-9.03200455712353E+001
+6.32525973348482E+003	-1.13149691380737E+001	-9.03087167849736E+001
+6.70016438628144E+003	-1.08147272711989E+001	-9.02991376475798E+001
+7.09729002360845E+003	-1.03145290805901E+001	-9.02897881899102E+001
+7.51795370608333E+003	-9.81412323029449E+000	-9.02804472078358E+001
+7.96355055786152E+003	-9.31416903600979E+000	-9.02737119399732E+001
+8.43555839354268E+003	-8.81338808328423E+000	-9.02671517846264E+001
+8.93554261931840E+003	-8.31344188431862E+000	-9.02629790382275E+001
+9.46516142461594E+003	-7.81331307839735E+000	-9.02652318140087E+001
+1.00261712814562E+004	-7.31470299340880E+000	-9.02659682633325E+001
+1.06204327697639E+004	-6.81211558983670E+000	-9.02606406660507E+001
+1.12499167479506E+004	-6.32558686807218E+000	-9.02528542884568E+001
+1.19167108892336E+004	-5.82493224025919E+000	-9.02476827915325E+001
+1.26230266053701E+004	-5.32454773781774E+000	-9.02446533108895E+001
+1.33712063807675E+004	-4.82391420237050E+000	-9.02412169035463E+001
+1.41637315412943E+004	-4.32324849088828E+000	-9.02400512082409E+001
+1.50032304835564E+004	-3.82302512145270E+000	-9.02386893889471E+001
+1.58924873919310E+004	-3.32182952726954E+000	-9.02422975657800E+001
+1.68344514722683E+004	-2.82059705061308E+000	-9.02455808042420E+001
+1.78322467328836E+004	-2.31933330047297E+000	-9.02447838405896E+001
+1.88891823452797E+004	-1.81792556036383E+000	-9.02512426874379E+001
+2.00087636189593E+004	-1.31432641526939E+000	-9.02994905183817E+001
+2.11947036267260E+004	-8.14184987478965E-001	-9.02546379219040E+001
+2.24509355190292E+004	-3.06741949871357E-001	-9.02616091210883E+001
+2.37816255681924E+004	+1.96111204606258E-001	-9.02642377377174E+001
+2.51911869857866E+004	+6.98321324419052E-001	-9.02709432932386E+001
+2.66842945589735E+004	+1.20215569024042E+000	-9.02759474592940E+001
+2.82659001543604E+004	+1.70981273107811E+000	-9.02682785278544E+001
+2.99412491407831E+004	+2.21490328220607E+000	-9.02812751274501E+001
+3.17158977854859E+004	+2.71952167889505E+000	-9.02892301527699E+001
+3.35957316813897E+004	+3.22486342256175E+000	-9.02995725575750E+001
+3.55869852665639E+004	+3.73098049873611E+000	-9.03062067815443E+001
+3.76962625006372E+004	+4.23746594956693E+000	-9.03247615833842E+001
+3.99305587667203E+004	+4.74615175222000E+000	-9.03265989560114E+001
+4.22972840714793E+004	+5.25456742516281E+000	-9.03440898687828E+001
+4.48042876202998E+004	+5.76444525919582E+000	-9.03593293933605E+001
+4.74598838490470E+004	+6.27564944855033E+000	-9.03745653088982E+001
+5.02728799987547E+004	+6.78875355213800E+000	-9.03907448846902E+001
+5.32526053246956E+004	+7.30366132547877E+000	-9.04080873248101E+001
+5.64089420367015E+004	+7.82027046266364E+000	-9.04317501504982E+001
+5.97523580733490E+004	+8.33963918525276E+000	-9.04525159049326E+001
+6.32939418187054E+004	+8.86202644231102E+000	-9.04716861094372E+001
+6.70454388767714E+004	+9.38665199350479E+000	-9.04977643675838E+001
+7.10192910255818E+004	+9.91539481915889E+000	-9.05264724792054E+001
+7.52286774801579E+004	+1.04480642612340E+001	-9.05566211313393E+001
+7.96875586011563E+004	+1.09854523202493E+001	-9.05990585557505E+001
+8.44107221941741E+004	+1.15278853051078E+001	-9.06451593572431E+001
+8.94138325532618E+004	+1.20767264464199E+001	-9.06992193751617E+001
+9.47134824112964E+004	+1.26342965737332E+001	-9.07617289309993E+001
+1.00327247969506E+005	+1.32011687054991E+001	-9.08377775947834E+001
+1.06273747188649E+005	+1.37798928803550E+001	-9.09280008157269E+001
+1.12572701535178E+005	+1.43729764237865E+001	-9.10569642825967E+001
+1.19245001387151E+005	+1.49845318719186E+001	-9.12376274109006E+001
+1.26312775316831E+005	+1.56206133415603E+001	-9.14992370715421E+001
+1.33799463479729E+005	+1.62884645286636E+001	-9.19204917524608E+001
+1.41729895353489E+005	+1.69976196575943E+001	-9.26541861096291E+001
+1.50130372084447E+005	+1.77472163942872E+001	-9.40698759657225E+001
+1.59028753714941E+005	+1.84640018351990E+001	-9.69099642818804E+001
+1.68454551580688E+005	+1.88011157914182E+001	-1.01335135670767E+002
+1.78439026184638E+005	+1.85529837564986E+001	-1.02692837907476E+002
+1.89015290871916E+005	+1.86713008990002E+001	-9.95129708687556E+001
+2.00218421649685E+005	+1.92893633012048E+001	-9.66817002817182E+001
+2.12085573516144E+005	+2.00712455412510E+001	-9.50994703517256E+001
+2.24656103684466E+005	+2.08981592092490E+001	-9.42780166445269E+001
+2.37971702110344E+005	+2.17527167953602E+001	-9.38619115381692E+001
